Age Group,Systolic blood pressure average,Estimated Glomerular Filtration Rate (mL/min/1.73 m2),alpha-tocopherol (Âµg/dL),Serum homocysteine: SI (umol/L),Serum ferritin (ng/mL),Serum creatinine (mg/dL),Serum blood urea nitrogen (mg/dL),Serum HDL cholesterol (mg/dL),Serum albumin:  SI (g/L),Serum C-reactive protein (mg/dL),Body Mass Index (kg/m**2),Waist to Height ratio
15-19,112.2288496652465,102.82633519737381,816.6285061411025,7.039205387205388,48.42547403314918,0.8179429646786335,10.842665500145815,51.15569123419101,44.23124177270733,0.24511567877629065,25.021131461131464,0.5026198326918594
20-24,112.59909502262444,110.88864110409946,952.9416912850813,7.457802064359441,66.62654916158537,0.8556944083224967,11.16229380439018,52.14834454216244,42.97516989022478,0.38836510791366907,26.489513651877132,0.5302807178002504
25-29,113.34285714285714,106.48516205996262,1087.7404574132493,7.462719816272966,82.59781118460613,0.8636774989716166,11.414377918154353,53.054430205319,42.66751548520303,0.399841716838221,27.50674827451491,0.5500475048582842
30-34,113.50493096646943,102.22619046772837,1125.382840955079,7.504885906040269,91.43037286790955,0.8629876977152899,11.537723184320043,51.63028403787172,42.372992700729924,0.44445932922127984,28.47550786658276,0.5655964879108074
35-39,115.6806806806807,97.96838682868861,1167.7221757322175,7.982979166666668,103.71758843112775,0.8775252242152467,11.992395437262358,51.295333520179376,42.425049033342674,0.41028901163937664,28.81630327977692,0.5725792012192784
40-44,120.06165703275528,93.68680881868603,1237.6874900079936,8.438453572661373,106.35108983499694,0.8926505361561726,12.34526590628006,51.16469065140365,42.17820069204152,0.4205333072865794,29.25035419126328,0.5830139748691158
45-49,123.98152173913043,90.90033752309166,1301.694080996885,8.867624633431085,123.76155501222495,0.8942757552285051,12.713817330210773,51.92699080567243,42.05409810617821,0.45728283291313315,29.447190045919122,0.5900116240355919
50-54,125.37788018433179,86.70173806788404,1370.2142280071812,9.251201413427562,164.93312352478364,0.9133072590738424,13.589229060913706,52.79523809523809,42.13342807516185,0.477319587628866,29.497376097633577,0.5982235458670064
55-59,130.65296052631578,82.3809454754191,1436.0116832779624,9.462701449275361,174.76436531210723,0.9408821907737548,14.195110785570408,53.68027022024801,41.889606793428094,0.5167666666666666,29.521643084541918,0.6052522464653678
60-64,134.9559748427673,78.03235204530435,1469.159354336834,9.868398898505115,188.04740882917466,0.9738461538461538,15.2050240880936,52.74534980566352,41.61112629852378,0.5772210459453737,29.532222659839835,0.6132513967123528
65-69,138.76827757125156,71.72929994573707,1493.082400765184,10.354512085944496,175.9708670095518,1.040984562607204,16.15906779661017,53.04516074162272,41.61195577055978,0.5669313576494427,29.196274349320674,0.614341765645406
70-74,140.79761904761904,67.67026678808315,1526.6545206971678,11.085962701612903,167.42633443163095,1.0385583349245753,16.7749808575804,53.259417808219176,41.31542279060889,0.539326949384405,28.624018331805683,0.6150702515509797
75-79,143.98710865561694,62.1132903180609,1549.0258582907231,11.839630895420369,161.82041543026708,1.092257617728532,18.059443393677384,54.04009753454349,41.19604904632153,0.5582917139614075,27.982382069324995,0.610593569215835
80-84,147.51631477927063,58.02638884066082,1596.3650530503978,12.037719762062128,160.53175792507204,1.1422163644032055,20.125529212531752,54.845509734142766,40.746689089762455,0.5759079324625677,26.66603145795523,0.6009809086366168
